,cod_ship,Order ID,Order Date,Ship Date,Ship Mode,City
43,44,CA-2017-109806,17/09/2017,22/09/2017,Standard Class,Los Angeles
44,45,CA-2016-149587,31/01/2016,05/02/2016,Second Class,Minneapolis
45,46,US-2018-109484,06/11/2018,12/11/2018,Standard Class,Portland
46,47,CA-2018-161018,09/11/2018,11/11/2018,Second Class,New York City
47,48,CA-2018-157833,17/06/2018,20/06/2018,First Class,San Francisco
48,49,CA-2017-149223,06/09/2017,11/09/2017,Standard Class,Saint Paul
49,50,CA-2017-158568,29/08/2017,02/09/2017,Standard Class,Chicago
50,51,CA-2017-129903,01/12/2017,04/12/2017,Second Class,Rochester
51,52,US-2016-156867,13/11/2016,17/11/2016,Standard Class,Aurora
52,53,CA-2018-119004,23/11/2018,28/11/2018,Standard Class,Charlotte
53,54,CA-2016-129476,15/10/2016,20/10/2016,Standard Class,Orland Park
54,55,CA-2018-146780,25/12/2018,30/12/2018,Standard Class,New York City
55,56,CA-2017-128867,03/11/2017,10/11/2017,Standard Class,Urbandale
56,57,CA-2015-115259,25/08/2015,27/08/2015,Second Class,Columbus
57,58,CA-2016-110457,02/03/2016,06/03/2016,Standard Class,Seattle
58,59,US-2016-136476,05/04/2016,10/04/2016,Standard Class,Bristol
59,60,CA-2017-103730,12/06/2017,15/06/2017,First Class,Wilmington
60,61,US-2015-152030,26/12/2015,28/12/2015,Second Class,Houston
61,62,US-2015-134614,20/09/2015,25/09/2015,Standard Class,Bloomington
62,63,US-2018-107272,05/11/2018,12/11/2018,Standard Class,Phoenix
63,64,US-2017-125969,06/11/2017,10/11/2017,Second Class,Los Angeles
64,65,US-2018-164147,02/02/2018,05/02/2018,First Class,Columbus
65,66,CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Roseville
66,67,CA-2017-110366,05/09/2017,07/09/2017,Second Class,Philadelphia
67,68,CA-2018-106180,18/09/2018,23/09/2018,Standard Class,San Francisco
68,69,CA-2018-155376,22/12/2018,27/12/2018,Standard Class,Independence
69,70,CA-2016-110744,07/09/2016,12/09/2016,Standard Class,Pasadena
70,71,CA-2015-110072,22/10/2015,28/10/2015,Standard Class,Newark
71,72,CA-2017-114489,05/12/2017,09/12/2017,Standard Class,Franklin
72,73,CA-2017-158834,13/03/2017,16/03/2017,First Class,Scottsdale
73,74,CA-2016-124919,31/05/2016,02/06/2016,First Class,San Jose
74,75,CA-2016-118948,28/05/2016,03/06/2016,Standard Class,Seattle
75,76,CA-2015-104269,01/03/2015,06/03/2015,Second Class,Seattle
76,77,CA-2017-114104,20/11/2017,24/11/2017,Standard Class,Edmond
77,78,CA-2017-162733,11/05/2017,12/05/2017,First Class,Los Angeles
78,79,CA-2016-119697,28/12/2016,31/12/2016,Second Class,Philadelphia
79,80,CA-2017-154508,16/11/2017,20/11/2017,Standard Class,Carlsbad
80,81,CA-2017-113817,07/11/2017,11/11/2017,Standard Class,Seattle
81,82,CA-2015-139892,08/09/2015,12/09/2015,Standard Class,San Antonio
82,83,CA-2015-118962,05/08/2015,09/08/2015,Standard Class,Los Angeles
83,84,US-2015-100853,14/09/2015,19/09/2015,Standard Class,Chicago
84,85,US-2018-152366,21/04/2018,25/04/2018,Second Class,Houston
85,86,US-2016-101511,21/11/2016,23/11/2016,Second Class,Newark
86,87,CA-2016-137225,15/12/2016,19/12/2016,Standard Class,New York City
87,88,CA-2015-166191,05/12/2015,09/12/2015,Second Class,Decatur
88,89,CA-2015-158274,19/11/2015,24/11/2015,Second Class,Monroe
89,90,CA-2017-105018,28/11/2017,02/12/2017,Standard Class,Fairfield
90,91,CA-2015-123260,26/08/2015,30/08/2015,Standard Class,Los Angeles
91,92,CA-2017-157000,16/07/2017,22/07/2017,Standard Class,Grand Prairie
92,93,CA-2016-102281,12/10/2016,14/10/2016,First Class,New York City
93,94,CA-2016-131457,31/10/2016,06/11/2016,Standard Class,Redlands
94,95,CA-2015-140004,21/03/2015,25/03/2015,Standard Class,Hamilton
95,96,CA-2018-107720,06/11/2018,13/11/2018,Standard Class,Westfield
96,97,US-2018-124303,06/07/2018,13/07/2018,Standard Class,Philadelphia
97,98,CA-2018-105074,24/06/2018,29/06/2018,Standard Class,Akron
98,99,CA-2015-133690,03/08/2015,05/08/2015,First Class,Denver
99,100,US-2018-116701,17/12/2018,21/12/2018,Second Class,Dallas
100,101,CA-2018-126382,03/06/2018,07/06/2018,Standard Class,Franklin
101,102,CA-2018-108329,09/12/2018,14/12/2018,Standard Class,Whittier
102,103,CA-2018-135860,01/12/2018,07/12/2018,Standard Class,Saginaw
103,104,CA-2016-101007,09/02/2016,13/02/2016,Second Class,Dallas
104,105,CA-2016-146262,02/01/2016,09/01/2016,Standard Class,Medina
105,106,CA-2017-130162,28/10/2017,01/11/2017,Standard Class,Los Angeles
106,107,CA-2016-169397,24/12/2016,27/12/2016,First Class,Dublin
107,108,CA-2016-163055,09/08/2016,16/08/2016,Standard Class,Detroit
108,109,US-2016-145436,28/02/2016,04/03/2016,Standard Class,Columbia
109,110,US-2015-156216,13/09/2015,17/09/2015,Standard Class,Charlotte
110,111,US-2018-100930,07/04/2018,12/04/2018,Standard Class,Tampa
111,112,CA-2018-160514,12/11/2018,16/11/2018,Standard Class,Santa Clara
112,113,CA-2017-157749,04/06/2017,09/06/2017,Second Class,Chicago
113,114,CA-2015-131926,01/06/2015,06/06/2015,Second Class,Lakeville
114,115,CA-2017-154739,10/12/2017,15/12/2017,Second Class,San Francisco
115,116,CA-2017-145625,11/09/2017,17/09/2017,Standard Class,San Diego
116,117,CA-2017-146941,10/12/2017,13/12/2017,First Class,New York City
117,118,US-2016-159982,28/11/2016,04/12/2016,Standard Class,Chicago
118,119,CA-2018-163139,01/12/2018,03/12/2018,Second Class,New York City
119,120,US-2018-155299,08/06/2018,12/06/2018,Standard Class,Pasadena
120,121,US-2015-106992,19/09/2015,21/09/2015,Second Class,Houston
121,122,CA-2017-125318,06/06/2017,13/06/2017,Standard Class,Chicago
122,123,CA-2016-155040,10/11/2016,15/11/2016,Standard Class,Brentwood
123,124,CA-2018-136826,16/06/2018,20/06/2018,Standard Class,Chapel Hill
124,125,CA-2017-111010,22/01/2017,28/01/2017,Standard Class,Morristown
125,126,US-2018-145366,09/12/2018,13/12/2018,Standard Class,Cincinnati
126,127,CA-2018-163979,28/12/2018,02/01/2019,Second Class,San Francisco
127,128,CA-2016-155334,30/07/2016,31/07/2016,First Class,San Francisco
128,129,CA-2018-118136,16/09/2018,17/09/2018,First Class,Inglewood
129,130,CA-2018-132976,13/10/2018,17/10/2018,Standard Class,Philadelphia
130,131,US-2016-161991,26/09/2016,28/09/2016,Second Class,Houston
131,132,CA-2016-130890,02/11/2016,06/11/2016,Standard Class,Los Angeles
132,133,CA-2016-130883,26/09/2016,02/10/2016,Standard Class,Portland
133,134,CA-2017-112697,18/12/2017,20/12/2017,Second Class,Tamarac
134,135,CA-2017-110772,20/11/2017,24/11/2017,Second Class,Columbus
135,136,CA-2015-111451,26/12/2015,28/12/2015,First Class,Colorado Springs
136,137,CA-2017-142545,28/10/2017,03/11/2017,Standard Class,Belleville
137,138,US-2018-152380,19/11/2018,23/11/2018,Standard Class,Chicago
138,139,CA-2016-144253,04/05/2016,09/05/2016,Second Class,New York City
139,140,CA-2015-130960,30/12/2015,04/01/2016,Standard Class,Taylor
140,141,CA-2015-111003,01/06/2015,06/06/2015,Standard Class,Lakewood
141,142,CA-2018-126774,15/04/2018,17/04/2018,First Class,Arlington
142,143,CA-2017-142902,12/09/2017,14/09/2017,Second Class,Arvada
143,144,CA-2015-120887,27/09/2015,03/10/2015,Standard Class,Hackensack
144,145,CA-2015-167850,09/08/2015,16/08/2015,Standard Class,Saint Petersburg
145,146,CA-2015-164259,28/12/2015,30/12/2015,First Class,Philadelphia
146,147,CA-2015-164973,04/11/2015,09/11/2015,Standard Class,New York City
147,148,CA-2015-156601,19/09/2015,24/09/2015,Standard Class,Long Beach
148,149,CA-2017-162138,23/04/2017,27/04/2017,Standard Class,Hesperia
149,150,CA-2018-153339,03/11/2018,05/11/2018,Second Class,Murfreesboro
150,151,US-2017-141544,30/08/2017,01/09/2017,First Class,Philadelphia
151,152,US-2017-150147,25/04/2017,29/04/2017,Second Class,Philadelphia
152,153,CA-2016-137946,01/09/2016,04/09/2016,Second Class,Los Angeles
153,154,CA-2015-129924,12/07/2015,17/07/2015,Standard Class,San Francisco
154,155,CA-2016-128167,22/06/2016,26/06/2016,Second Class,Layton
155,156,CA-2015-122336,13/04/2015,17/04/2015,Second Class,Philadelphia
156,157,US-2016-120712,20/12/2016,24/12/2016,Standard Class,Austin
157,158,CA-2018-169901,15/06/2018,19/06/2018,Standard Class,San Francisco
158,159,CA-2018-134306,08/07/2018,12/07/2018,Standard Class,Lowell
159,160,CA-2017-129714,01/09/2017,03/09/2017,First Class,New York City
160,161,CA-2017-138520,08/04/2017,13/04/2017,Standard Class,New York City
161,162,CA-2017-130001,23/04/2017,28/04/2017,Standard Class,Charlotte
162,163,CA-2018-155698,08/03/2018,11/03/2018,First Class,Columbus
163,164,CA-2018-144904,25/09/2018,01/10/2018,Standard Class,New York City
164,165,CA-2015-123344,24/09/2015,29/09/2015,Standard Class,San Francisco
165,166,CA-2017-155516,21/10/2017,21/10/2017,Same Day,Manchester
166,167,CA-2018-104745,29/05/2018,04/06/2018,Standard Class,Harlingen
167,168,US-2015-119137,23/07/2015,27/07/2015,Standard Class,Tucson
168,169,US-2017-134656,28/09/2017,01/10/2017,First Class,Quincy
169,170,US-2018-134481,27/08/2018,01/09/2018,Standard Class,Franklin
170,171,CA-2016-130792,28/04/2016,05/05/2016,Standard Class,Houston
171,172,CA-2017-134775,28/10/2017,29/10/2017,First Class,San Francisco
172,173,CA-2016-125395,26/06/2016,29/06/2016,Second Class,Taylor
173,174,US-2016-168935,27/11/2016,02/12/2016,Standard Class,Pembroke Pines
174,175,CA-2016-122756,03/12/2016,07/12/2016,Standard Class,Philadelphia
175,176,CA-2015-115973,24/11/2015,26/11/2015,First Class,Cincinnati
176,177,CA-2018-101798,11/12/2018,15/12/2018,Standard Class,New York City
177,178,US-2015-135972,21/09/2015,23/09/2015,Second Class,Des Moines
178,179,US-2015-134971,07/06/2015,10/06/2015,Second Class,Peoria
179,180,CA-2018-102946,30/06/2018,05/07/2018,Standard Class,Las Vegas
180,181,CA-2018-165603,17/10/2018,19/10/2018,Second Class,Warwick
181,182,CA-2016-122259,31/10/2016,04/11/2016,Standard Class,Jackson
182,183,CA-2017-108987,08/09/2017,10/09/2017,Second Class,Houston
183,184,CA-2015-113166,24/12/2015,26/12/2015,First Class,Miami
184,185,CA-2015-155208,16/04/2015,20/04/2015,Standard Class,Wilmington
185,186,CA-2018-117933,24/12/2018,29/12/2018,Standard Class,New York City
186,187,CA-2018-117457,08/12/2018,12/12/2018,Standard Class,San Francisco
187,188,CA-2018-142636,03/11/2018,07/11/2018,Standard Class,Seattle
188,189,CA-2018-122105,24/06/2018,28/06/2018,Standard Class,Huntington Beach
189,190,CA-2017-148796,14/04/2017,18/04/2017,Standard Class,Los Angeles
190,191,CA-2018-154816,06/11/2018,10/11/2018,Standard Class,Richmond
191,192,CA-2018-110478,04/03/2018,09/03/2018,Standard Class,Los Angeles
192,193,CA-2015-142048,22/06/2015,25/06/2015,First Class,Louisville
193,194,CA-2018-125388,19/10/2018,23/10/2018,Standard Class,Lawrence
194,195,CA-2018-155705,21/08/2018,23/08/2018,Second Class,Jackson
195,196,CA-2018-149160,23/11/2018,26/11/2018,Second Class,Canton
196,197,CA-2015-101476,12/09/2015,13/09/2015,First Class,New Rochelle
197,198,CA-2018-152275,01/10/2018,08/10/2018,Standard Class,San Antonio
198,199,US-2017-123750,15/04/2017,21/04/2017,Standard Class,Gastonia
199,200,CA-2017-127369,06/06/2017,07/06/2017,First Class,Lowell
200,201,US-2015-150574,19/12/2015,25/12/2015,Standard Class,Jacksonville
201,202,CA-2017-147375,12/06/2017,14/06/2017,Second Class,Chicago
202,203,CA-2018-130043,15/09/2018,19/09/2018,Standard Class,Houston
203,204,CA-2018-157252,20/01/2018,23/01/2018,Second Class,New York City
204,205,CA-2017-115756,05/09/2017,07/09/2017,Second Class,Detroit
205,206,CA-2018-154214,20/03/2018,25/03/2018,Second Class,Columbus
206,207,CA-2017-166674,01/04/2017,03/04/2017,Second Class,Auburn
207,208,CA-2018-147277,20/10/2018,24/10/2018,Standard Class,Akron
208,209,CA-2017-100153,13/12/2017,17/12/2017,Standard Class,Norman
209,210,US-2015-110674,12/02/2015,18/02/2015,Standard Class,Concord
210,211,US-2017-157945,26/09/2017,01/10/2017,Standard Class,Decatur
211,212,CA-2016-109638,15/12/2016,22/12/2016,Standard Class,Seattle
212,213,CA-2017-109869,22/04/2017,29/04/2017,Standard Class,Phoenix
213,214,US-2016-101399,17/01/2016,24/01/2016,Standard Class,Park Ridge
214,215,CA-2018-154907,31/03/2018,04/04/2018,Standard Class,Amarillo
215,216,US-2017-100419,16/12/2017,20/12/2017,Second Class,Chicago
216,217,CA-2016-154144,20/12/2016,24/12/2016,Standard Class,Lindenhurst
217,218,CA-2015-144666,09/11/2015,11/11/2015,Second Class,San Francisco
218,219,CA-2017-103891,12/07/2017,19/07/2017,Standard Class,Los Angeles
219,220,CA-2017-152632,27/10/2017,02/11/2017,Standard Class,Troy
220,221,CA-2017-100790,26/06/2017,02/07/2017,Standard Class,New York City
221,222,CA-2015-134677,06/10/2015,10/10/2015,Standard Class,San Diego
222,223,CA-2015-127691,22/07/2015,27/07/2015,Standard Class,New York City
223,224,CA-2018-140963,10/06/2018,13/06/2018,First Class,Los Angeles
224,225,CA-2015-154627,29/10/2015,31/10/2015,First Class,Chicago
225,226,CA-2015-133753,09/06/2015,13/06/2015,Second Class,Huntsville
226,227,CA-2015-113362,14/09/2015,19/09/2015,Standard Class,Rochester
227,228,CA-2017-169166,09/05/2017,14/05/2017,Standard Class,Seattle
228,229,US-2017-120929,18/03/2017,21/03/2017,Second Class,Memphis
229,230,CA-2016-134782,27/12/2016,31/12/2016,Standard Class,Fayetteville
230,231,CA-2017-126158,25/07/2017,31/07/2017,Standard Class,Costa Mesa
231,232,US-2017-105578,30/05/2017,04/06/2017,Standard Class,Parker
232,233,CA-2018-134978,12/11/2018,15/11/2018,Second Class,New York City
233,234,CA-2016-145352,16/03/2016,22/03/2016,Standard Class,Atlanta
234,235,CA-2018-135307,26/11/2018,27/11/2018,First Class,Gladstone
235,236,CA-2017-106341,20/10/2017,23/10/2017,First Class,Newark
236,237,CA-2018-163405,21/12/2018,25/12/2018,Standard Class,Los Angeles
237,238,CA-2018-127432,22/01/2018,27/01/2018,Standard Class,Great Falls
238,239,CA-2016-157812,22/03/2016,26/03/2016,Standard Class,Houston
239,240,CA-2018-145142,23/01/2018,25/01/2018,First Class,Detroit
240,241,US-2017-139486,21/05/2017,23/05/2017,First Class,Los Angeles
241,242,CA-2016-158792,26/12/2016,02/01/2017,Standard Class,Lawrence
242,243,CA-2018-113558,21/10/2018,26/10/2018,Standard Class,Lakeland
243,244,US-2016-138303,03/09/2016,07/09/2016,Standard Class,Philadelphia
244,245,CA-2016-102848,07/11/2016,09/11/2016,Second Class,Los Angeles
245,246,US-2018-129441,07/09/2018,11/09/2018,Standard Class,Los Angeles
246,247,CA-2017-168753,29/05/2017,01/06/2017,Second Class,Montgomery
247,248,CA-2017-126613,10/07/2017,16/07/2017,Standard Class,Mesa
248,249,US-2018-122637,03/09/2018,08/09/2018,Second Class,Chicago
249,250,CA-2016-147851,03/12/2016,08/12/2016,Standard Class,New York City
250,251,CA-2016-134894,07/12/2016,11/12/2016,Standard Class,Henderson
251,252,CA-2015-140795,01/02/2015,03/02/2015,First Class,Green Bay
252,253,CA-2017-136924,14/07/2017,17/07/2017,First Class,Tucson
253,254,US-2016-120161,18/12/2016,23/12/2016,Standard Class,Springfield
254,255,CA-2015-103849,11/05/2015,16/05/2015,Standard Class,Fort Worth
255,256,CA-2018-162929,19/11/2018,22/11/2018,First Class,New York City
256,257,CA-2016-113173,15/11/2016,17/11/2016,Second Class,Chicago
257,258,CA-2017-136406,15/04/2017,17/04/2017,Second Class,San Francisco
258,259,CA-2018-112774,11/09/2018,12/09/2018,First Class,Jacksonville
259,260,CA-2018-101945,24/11/2018,28/11/2018,Standard Class,Houston
260,261,CA-2018-100650,29/06/2018,03/07/2018,Second Class,Anaheim
261,262,CA-2015-155852,03/03/2015,07/03/2015,Second Class,Wilmington
262,263,CA-2017-113243,10/06/2017,15/06/2017,Standard Class,Los Angeles
263,264,CA-2018-118731,20/11/2018,22/11/2018,Second Class,San Francisco
264,265,CA-2015-145576,14/09/2015,18/09/2015,Second Class,Tampa
265,266,CA-2016-130736,07/12/2016,09/12/2016,First Class,Seattle
266,267,CA-2018-137099,07/12/2018,10/12/2018,First Class,Los Angeles
267,268,CA-2018-156951,01/10/2018,08/10/2018,Standard Class,Seattle
268,269,CA-2018-164826,28/12/2018,04/01/2019,Standard Class,New York City
269,270,CA-2017-127250,03/11/2017,07/11/2017,Standard Class,Marysville
270,271,CA-2016-149713,18/09/2016,22/09/2016,Second Class,Long Beach
271,272,CA-2018-118640,20/07/2018,26/07/2018,Standard Class,Chicago
272,273,CA-2016-132906,10/09/2016,14/09/2016,Standard Class,Los Angeles
273,274,CA-2018-145233,01/12/2018,05/12/2018,Standard Class,Denver
274,275,CA-2016-128139,03/07/2016,09/07/2016,Standard Class,Richmond
275,276,US-2017-156986,20/03/2017,24/03/2017,Standard Class,Salem
276,277,CA-2015-135405,09/01/2015,13/01/2015,Standard Class,Laredo
277,278,CA-2015-131450,08/08/2015,15/08/2015,Standard Class,San Diego
278,279,CA-2017-120180,14/07/2017,16/07/2017,First Class,Philadelphia
279,280,US-2017-100720,16/07/2017,21/07/2017,Standard Class,Philadelphia
280,281,CA-2015-149958,15/03/2015,19/03/2015,Standard Class,Tampa
281,282,US-2015-105767,23/05/2015,27/05/2015,Standard Class,Philadelphia
282,283,CA-2017-161816,28/04/2017,01/05/2017,First Class,Dallas
283,284,CA-2017-121223,11/09/2017,13/09/2017,Second Class,Philadelphia
284,285,CA-2018-138611,14/11/2018,17/11/2018,Second Class,Grove City
285,286,CA-2018-117947,18/08/2018,23/08/2018,Second Class,New York City
286,287,US-2015-111171,26/12/2015,31/12/2015,Standard Class,Chicago
287,288,CA-2016-138009,29/11/2016,03/12/2016,Standard Class,Dearborn
288,289,CA-2018-163020,15/09/2018,19/09/2018,Standard Class,New York City
289,290,CA-2018-153787,19/05/2018,23/05/2018,Standard Class,Seattle
290,291,CA-2018-133431,17/12/2018,21/12/2018,Standard Class,San Francisco
291,292,US-2017-135720,11/12/2017,13/12/2017,Second Class,Aurora
292,293,CA-2018-144694,24/09/2018,26/09/2018,Second Class,Miami
293,294,CA-2016-168004,04/10/2016,09/10/2016,Second Class,Warner Robins
294,295,US-2017-123470,15/08/2017,21/08/2017,Standard Class,Aurora
295,296,CA-2017-115917,20/05/2017,25/05/2017,Standard Class,Vallejo
296,297,CA-2017-147067,18/12/2017,22/12/2017,Standard Class,Minneapolis
297,298,CA-2018-167913,30/07/2018,03/08/2018,Second Class,Mission Viejo
298,299,CA-2018-106103,10/06/2018,15/06/2018,Standard Class,Rochester Hills
299,300,US-2018-127719,21/07/2018,25/07/2018,Standard Class,Plainfield
300,301,CA-2018-126221,30/12/2018,05/01/2019,Standard Class,Columbus
301,302,CA-2017-103947,01/04/2017,08/04/2017,Standard Class,Sierra Vista
302,303,CA-2017-160745,11/12/2017,16/12/2017,Second Class,Vancouver
303,304,CA-2017-132661,23/10/2017,29/10/2017,Standard Class,New York City
304,305,CA-2018-140844,19/06/2018,23/06/2018,Standard Class,New York City
305,306,CA-2017-137239,22/08/2017,28/08/2017,Standard Class,Columbus
306,307,US-2017-156097,19/09/2017,19/09/2017,Same Day,Aurora
307,308,CA-2016-146563,24/08/2016,28/08/2016,Standard Class,Arlington
308,309,CA-2017-123666,26/03/2017,30/03/2017,Standard Class,New York City
309,310,CA-2017-143308,04/11/2017,04/11/2017,Same Day,Louisville
310,311,CA-2018-132682,08/06/2018,10/06/2018,Second Class,Dallas
311,312,CA-2015-156314,24/12/2015,26/12/2015,First Class,Cleveland
312,313,US-2018-106663,09/06/2018,13/06/2018,Standard Class,Chicago
313,314,CA-2018-111178,15/06/2018,22/06/2018,Standard Class,Quincy
314,315,CA-2018-130351,05/12/2018,08/12/2018,First Class,Columbus
315,316,US-2018-119438,18/03/2018,23/03/2018,Standard Class,Tyler
316,317,CA-2017-164511,19/11/2017,24/11/2017,Standard Class,New York City
317,318,US-2018-168116,04/11/2018,04/11/2018,Same Day,Burlington
318,319,CA-2015-157784,05/07/2015,08/07/2015,First Class,Jackson
319,320,CA-2018-161480,25/12/2018,29/12/2018,Standard Class,New York City
320,321,US-2015-117135,21/06/2015,23/06/2015,Second Class,Waynesboro
321,322,CA-2016-131534,28/03/2016,02/04/2016,Standard Class,Los Angeles
322,323,CA-2016-119291,14/05/2016,17/05/2016,First Class,Chester
323,324,CA-2018-114552,02/09/2018,08/09/2018,Standard Class,Cleveland
324,325,CA-2017-163755,04/11/2017,08/11/2017,Second Class,Seattle
325,326,CA-2016-142027,09/04/2016,14/04/2016,Standard Class,Long Beach
326,327,CA-2015-138527,12/09/2015,17/09/2015,Standard Class,Cary
327,328,CA-2015-112158,02/12/2015,04/12/2015,First Class,New York City
328,329,CA-2015-113887,05/04/2015,07/04/2015,First Class,New York City
329,330,CA-2018-146136,03/09/2018,07/09/2018,Standard Class,Palm Coast
330,331,US-2018-100048,19/05/2018,24/05/2018,Standard Class,Mount Vernon
331,332,CA-2015-153150,01/07/2015,06/07/2015,Second Class,Seattle
332,333,CA-2015-130092,11/01/2015,14/01/2015,First Class,Dover
333,334,CA-2018-108910,24/09/2018,29/09/2018,Standard Class,Newark
334,335,CA-2015-104472,02/06/2015,07/06/2015,Standard Class,Orem
335,336,CA-2017-112942,13/02/2017,18/02/2017,Standard Class,Los Angeles
336,337,CA-2017-142335,15/12/2017,19/12/2017,Standard Class,Detroit
337,338,CA-2015-117429,07/10/2015,13/10/2015,Standard Class,Philadelphia
338,339,CA-2017-114713,07/07/2017,12/07/2017,Standard Class,Hialeah
339,340,CA-2018-144113,16/09/2018,20/09/2018,Standard Class,Austin
340,341,US-2017-150861,03/12/2017,06/12/2017,First Class,Oceanside
341,342,CA-2018-131954,21/01/2018,25/01/2018,Standard Class,Seattle
342,343,CA-2015-132500,08/09/2015,12/09/2015,Standard Class,San Francisco
343,344,CA-2015-112326,04/01/2015,08/01/2015,Standard Class,Naperville
344,345,US-2017-146710,27/08/2017,01/09/2017,Standard Class,Dallas
345,346,CA-2015-124429,27/05/2015,27/05/2015,Same Day,San Diego
346,347,CA-2017-150889,20/03/2017,22/03/2017,Second Class,Evanston
347,348,CA-2018-126074,02/10/2018,06/10/2018,Standard Class,Trenton
348,349,CA-2017-110499,07/04/2017,09/04/2017,First Class,San Francisco
349,350,CA-2016-135272,07/12/2016,12/12/2016,Standard Class,Los Angeles
350,351,CA-2017-140928,18/09/2017,22/09/2017,Standard Class,Jacksonville
351,352,CA-2015-106803,29/12/2015,02/01/2016,Standard Class,Cottage Grove
352,353,CA-2018-117240,23/07/2018,28/07/2018,Standard Class,New York City
353,354,CA-2018-133333,18/09/2018,22/09/2018,Standard Class,Green Bay
354,355,CA-2016-112319,31/08/2016,05/09/2016,Standard Class,Los Angeles
355,356,CA-2018-126046,03/11/2018,07/11/2018,Standard Class,Atlanta
356,357,CA-2016-114923,08/02/2016,13/02/2016,Standard Class,Columbus
357,358,CA-2015-162775,13/01/2015,15/01/2015,Second Class,Bossier City
358,359,CA-2015-106810,14/05/2015,20/05/2015,Standard Class,Saint Petersburg
359,360,CA-2017-157245,19/05/2017,24/05/2017,Standard Class,Arlington
360,361,CA-2018-104220,30/01/2018,05/02/2018,Standard Class,Des Moines
361,362,CA-2015-165974,29/06/2015,06/07/2015,Standard Class,Cincinnati
362,363,CA-2016-144267,21/08/2016,23/08/2016,First Class,San Francisco
363,364,US-2016-157014,03/10/2016,06/10/2016,Second Class,Columbus
364,365,CA-2016-154921,23/05/2016,28/05/2016,Standard Class,Columbia
365,366,CA-2018-129567,17/03/2018,21/03/2018,Second Class,Lancaster
366,367,CA-2016-154620,12/12/2016,16/12/2016,Standard Class,Lancaster
367,368,CA-2016-115938,26/06/2016,30/06/2016,Standard Class,Richmond
368,369,CA-2017-105256,20/05/2017,20/05/2017,Same Day,Asheville
