,cod_id,cod_address,cod_customer,cod_ship,cod_prod,cod_sales
133,4644,234,582,4644,207,269
134,130,12,123,130,254,269
135,3097,46,467,3097,207,4198
136,3101,562,214,3101,917,4200
137,594,35,419,594,917,1125
138,3527,12,406,3527,349,1125
139,1309,197,141,1309,917,2176
140,1303,334,643,1303,238,2176
141,4119,180,32,4119,917,5155
142,3101,562,214,3101,73,287
143,3244,35,503,3244,964,287
144,2738,134,293,2738,1220,287
145,3405,142,520,3405,1220,287
146,136,98,127,136,271,287
147,3357,46,158,3357,73,1043
148,556,46,112,556,73,1043
149,3161,21,191,3161,271,1043
150,2314,186,108,2314,271,1043
151,34,32,33,34,73,75
152,4065,27,579,4065,73,75
153,2893,409,311,2893,964,75
154,835,165,203,835,73,1476
155,1741,302,711,1741,73,2719
156,1846,235,176,1846,73,2863
157,479,1,362,479,768,898
158,4857,238,638,4857,768,5710
159,3456,26,323,3456,768,4542
160,2139,484,374,2139,768,3201
161,2965,371,119,2965,768,4065
162,479,1,362,479,769,899
163,2581,24,617,2581,769,899
164,2292,165,317,2292,769,899
165,2393,511,334,2393,769,899
166,2963,2,26,2963,769,4063
167,4376,161,299,4376,769,5342
168,479,1,362,479,770,900
169,2202,1,276,2202,770,900
170,3460,38,64,3460,549,900
171,3470,84,351,3470,549,900
172,3091,368,378,3091,770,324
173,1011,52,334,1011,770,324
174,834,165,253,834,310,324
175,154,35,142,154,310,324
176,3364,26,195,3364,310,324
177,4449,611,707,4449,770,5397
178,715,173,479,715,770,1314
179,4626,339,316,4626,549,1314
180,795,226,510,795,549,1314
181,1578,210,313,1578,549,1314
182,2918,221,527,2918,310,1314
183,479,1,362,479,285,901
184,2995,14,673,2995,285,901
185,1840,130,438,1840,285,2859
186,143,103,131,143,285,299
187,850,233,528,850,285,1498
188,4312,6,262,4312,285,5286
189,4535,64,723,4535,285,1367
190,2098,106,16,2098,206,1367
191,759,64,497,759,206,1367
192,4056,156,607,4056,285,5100
193,3068,26,362,3068,212,1178
194,3554,4,418,3554,212,1178
195,2983,500,560,2983,212,1178
196,4705,106,577,4705,509,1178
197,3974,163,448,3974,1692,1178
198,2692,10,665,2692,1765,1178
199,631,95,436,631,949,1178
200,4612,615,87,4612,212,5529
201,108,84,104,108,212,224
202,4525,6,114,4525,924,224
203,2684,267,190,2684,1426,224
204,3359,37,211,3359,212,201
205,2524,27,319,2524,212,201
206,4840,276,384,4840,212,201
207,3540,394,8,3540,924,201
208,2517,234,759,2517,924,201
209,101,79,97,101,193,201
210,2485,214,514,2485,193,201
211,1218,60,608,1218,1370,201
212,4028,142,362,4028,316,652
213,2625,39,134,2625,316,652
214,321,181,269,321,582,652
215,1815,359,87,1815,316,333
216,160,30,145,160,316,333
217,4592,279,146,4592,316,333
218,2086,127,725,2086,1663,333
219,439,213,117,439,582,333
220,4536,135,450,4536,582,333
221,352,192,291,352,582,333
222,4266,46,475,4266,34,333
223,159,112,144,159,34,333
224,3162,165,709,3162,316,336
225,160,30,145,160,316,336
226,3754,63,211,3754,1663,336
227,4034,270,166,4034,34,336
228,1344,403,556,1344,34,336
229,1551,165,670,1551,1515,336
230,2605,113,686,2605,1515,336
231,517,77,383,517,316,35
232,16,15,16,16,34,35
233,1951,90,18,1951,316,2994
234,3526,140,738,3526,34,2994
235,4693,0,529,4693,316,5589
236,1902,334,100,1902,316,2938
237,2575,38,295,2575,1663,2938
238,3078,38,674,3078,582,2938
239,3993,255,569,3993,316,3619
240,2497,2,483,2497,1663,3619
241,4028,142,362,4028,50,2042
242,2952,46,725,2952,50,2042
243,1213,4,419,1213,1368,2042
244,3133,60,590,3133,302,2042
245,25,23,25,25,50,51
246,1597,435,365,1597,50,51
247,4697,165,597,4697,50,51
248,4529,143,295,4529,50,2256
249,4429,174,572,4429,1054,2256
250,1364,78,658,1364,1054,2256
251,3654,149,496,3654,50,4722
252,3865,30,172,3865,50,2911
253,4439,29,314,4439,1368,2911
254,3411,337,463,3411,1368,2911
255,2045,213,733,2045,296,2911
256,1886,202,8,1886,1613,2911
257,2939,308,759,2939,1106,2911
258,3490,165,362,3490,715,3577
259,2465,126,341,2465,715,3577
260,1777,31,471,1777,715,534
261,4271,176,528,4271,1829,534
262,266,60,224,266,288,534
263,2114,70,603,2114,715,1193
264,640,265,42,640,957,1193
265,839,29,245,839,715,1485
266,3332,308,409,3332,1829,1485
267,2582,72,321,2582,957,1485
268,2743,24,515,2743,288,1485
269,430,211,144,430,715,823
270,2764,116,21,2764,1478,823
271,2600,102,455,2600,872,823
272,1367,186,362,1367,92,2259
273,3920,594,259,3920,92,4977
274,107,83,103,107,92,218
275,4446,111,52,4446,92,1224
276,656,268,105,656,92,1224
277,3396,411,487,3396,92,4490
278,45,40,42,45,92,94
279,3486,127,525,3486,684,94
280,1448,418,238,1448,92,2344
281,2339,331,698,2339,92,3437
282,810,302,362,810,67,69
283,30,28,30,30,67,69
284,783,142,505,783,67,1397
285,1662,89,313,1662,67,1397
286,823,305,286,823,67,1461
287,1593,253,157,1593,67,2534
288,1349,35,35,1349,67,2236
289,1636,439,362,1636,767,568
290,280,75,238,280,522,568
291,4333,76,71,4333,767,5304
292,478,221,361,478,767,897
293,2190,24,510,2190,522,897
294,1636,439,362,1636,349,2581
295,2205,21,590,2205,1691,2581
296,2446,413,99,2446,349,2583
297,1637,422,640,1637,517,2583
298,3815,13,459,3815,1691,2583
299,1772,255,528,1772,243,2583
300,1856,14,335,1856,243,2583
301,2172,490,24,2172,243,2583
302,4823,130,230,4823,855,2583
303,1657,359,27,1657,855,2583
304,2327,14,577,2327,816,2583
305,782,14,124,782,349,569
306,1694,43,680,1694,508,569
307,280,75,238,280,508,569
308,546,242,397,546,855,569
309,4650,618,578,4650,349,1845
310,1081,70,587,1081,238,1845
311,328,46,274,328,349,667
312,1347,56,233,1347,1050,667
313,177,30,161,177,349,369
314,3729,591,760,3729,1050,369
315,3940,91,460,3940,1050,369
316,2368,246,736,2368,816,369
317,2010,177,600,2010,349,3072
318,2613,67,450,2613,349,2776
319,1782,33,268,1782,508,2776
320,3078,38,674,3078,349,4177
321,1636,439,362,1636,101,2582
322,52,43,49,52,101,102
323,2159,95,445,2159,101,3223
324,555,61,111,555,101,1041
325,3791,177,238,3791,101,4879
326,1636,439,362,1636,1541,342
327,2691,63,357,2691,1541,342
328,162,44,97,162,189,342
329,4312,6,262,4312,1541,5287
330,4140,151,515,4140,1541,5174
331,3030,165,311,3030,1541,4124
332,3963,444,362,3963,788,1260
333,2845,368,287,2845,771,1260
334,672,155,460,672,994,1260
335,1449,419,352,1449,994,1260
336,2402,161,137,2402,810,1260
337,3994,145,561,3994,511,1260
338,2379,12,709,2379,788,3480
339,3283,201,648,3283,788,1973
340,4384,142,163,4384,671,1973
341,2962,4,365,2962,196,1973
342,1171,253,611,1171,1342,1973
343,496,104,157,496,788,926
344,960,30,557,960,788,926
345,3388,30,464,3388,994,926
346,2835,505,362,2835,1662,3330
347,2561,373,711,2561,220,3330
348,2247,61,666,2247,1237,3330
349,2829,177,65,2829,1680,3330
350,4798,48,94,4798,1680,3330
351,2626,60,115,2626,1527,3330
352,2077,33,662,2077,1662,3052
353,3005,555,165,3005,1237,3052
354,2970,63,505,2970,1237,3052
355,1996,95,296,1996,1168,3052
356,2835,505,362,2835,1543,3934
357,3743,144,783,3743,1543,4817
358,1643,12,230,1643,1543,2591
359,3238,82,703,3238,1523,2591
360,2510,191,16,2510,1543,3634
361,4551,84,220,4551,1523,3634
362,2835,505,362,2835,1284,895
363,2969,10,159,2969,1284,895
364,3897,102,524,3897,1040,895
365,3468,2,3,3468,1721,895
366,3802,289,16,3802,1029,895
367,477,59,289,477,765,895
368,1721,441,554,1721,1284,1157
369,4038,264,743,4038,1040,1157
370,2745,2,33,2745,1101,1157
371,3532,6,491,3532,1101,1157
372,2335,26,369,2335,1721,1157
373,3354,335,670,3354,336,1157
374,2421,6,554,2421,1525,1157
375,3229,12,30,3229,936,1157
376,615,102,427,615,936,1157
377,2394,95,487,2394,1338,1157
378,4697,165,597,4697,1284,4584
379,3502,159,577,3502,1185,4584
380,2728,73,595,2728,1284,1833
381,1071,60,276,1071,1040,1833
382,3590,64,21,3590,1040,1833
383,2297,63,276,2297,292,1833
384,4912,106,525,4912,1101,1833
385,4414,165,36,4414,1029,1833
386,2971,26,16,2971,765,1833
387,1082,367,147,1082,1284,1846
388,1142,1,347,1142,353,1921
389,2097,78,323,2097,353,3160
390,465,165,286,465,353,374
391,180,122,164,180,353,374
392,2496,50,478,2496,353,3616
393,4210,356,545,4210,353,5225
394,3552,113,24,3552,353,4632
395,1142,1,347,1142,282,1922
396,1920,156,243,1920,282,2961
397,2082,64,171,2082,282,3140
398,141,101,129,141,282,296
399,4654,95,245,4654,1591,296
400,1142,1,347,1142,792,1923
401,3666,2,640,3666,792,934
402,499,26,371,499,792,934
403,3742,77,511,3742,792,934
404,1998,33,689,1998,792,1724
405,995,345,382,995,792,1724
406,2568,468,138,2568,792,3692
407,3382,12,520,3382,792,4476
408,4246,106,788,4246,792,4476
409,4478,78,688,4478,792,5423
410,991,343,324,991,792,1718
411,1142,1,347,1142,1009,1924
412,4223,338,531,4223,1009,2352
413,1454,152,339,1454,836,2352
414,3728,2,484,3728,1292,2352
415,3579,24,492,3579,1292,2352
416,689,113,468,689,1009,1285
417,1692,35,621,1692,1009,2663
418,1240,336,523,1240,1009,2078
419,1398,2,316,1398,1009,2078
420,2181,158,574,2181,1009,3252
421,2644,365,657,2644,1009,3252
422,2839,308,367,2839,1292,3252
423,4144,87,757,4144,1872,3252
424,4662,2,552,4662,1009,5567
425,4920,33,348,4920,1009,2557
426,3112,85,504,3112,1009,2557
427,3095,561,94,3095,836,2557
428,1630,438,367,1630,836,2557
429,2247,61,666,2247,492,2557
430,2514,202,345,2514,530,2557
431,1612,6,131,1612,1537,2557
432,1890,24,669,1890,1490,2557
433,3801,259,661,3801,1009,3266
434,2192,35,118,2192,836,3266
435,1727,438,339,1727,1009,2702
436,3653,30,347,3653,655,1756
437,3192,165,8,3192,1197,1756
438,4826,14,464,4826,833,1756
439,1176,10,414,1176,751,1756
440,4006,95,364,4006,751,1756
441,4479,415,665,4479,620,1756
442,3774,590,4,3774,132,1756
443,1015,349,200,1015,1251,1756
444,3733,127,253,3733,1595,1756
445,4213,95,500,4213,677,1756
446,2252,114,393,2252,1703,1756
447,4762,497,463,4762,655,705
448,2307,95,410,2307,1606,705
449,4049,14,690,4049,1380,705
450,1781,127,87,1781,620,705
451,2177,417,155,2177,620,705
452,348,191,289,348,620,705
453,3594,14,225,3594,655,875
454,4860,35,213,4860,1380,875
455,1651,72,57,1651,1197,875
456,1988,149,652,1988,1197,875
457,531,35,392,531,833,875
458,1457,420,565,1457,833,875
459,2411,6,75,2411,751,875
460,463,165,355,463,751,875
461,3884,285,453,3884,1017,875
462,518,46,384,518,813,875
463,3814,152,5,3814,677,875
464,3264,129,565,3264,677,875
465,2251,27,211,2251,655,2722
466,1866,124,272,1866,1606,2722
467,4771,391,385,4771,1197,2722
468,4401,64,152,4401,1197,2722
469,1792,56,335,1792,751,2722
470,1742,156,305,1742,132,2722
471,380,200,234,380,655,133
472,3559,35,269,3559,655,133
473,2280,308,451,2280,1606,133
474,3243,10,764,3243,1380,133
475,2367,27,201,2367,751,133
476,3686,156,587,3686,751,133
477,2905,549,202,2905,751,133
478,1103,26,595,1103,620,133
479,1132,373,146,1132,620,133
480,66,53,63,66,132,133
481,3200,474,661,3200,1767,133
482,1816,161,622,1816,1595,133
483,393,46,313,393,677,133
484,1766,76,199,1766,1575,133
485,1410,75,347,1410,463,1446
486,2130,394,383,2130,463,1446
487,814,64,116,814,879,1446
488,4152,15,752,4152,879,1446
489,3656,134,2,3656,408,1446
490,4690,86,114,4690,169,1446
491,2316,503,640,2316,463,1226
492,2295,35,104,2295,463,1226
493,658,269,453,658,879,1226
494,2403,512,508,2403,463,1057
495,567,6,404,567,879,1057
496,2024,40,184,2024,463,3087
497,239,17,204,239,463,432
498,210,138,184,210,408,432
499,2209,95,358,2209,397,432
500,400,46,219,400,463,421
501,342,61,285,342,463,421
502,2296,35,511,2296,463,421
503,1547,334,5,1547,879,421
504,2456,6,756,2456,879,421
505,205,84,8,205,397,421
506,3992,14,91,3992,463,5044
507,1474,306,536,1474,463,1765
508,2052,111,714,2052,879,1765
509,1023,116,572,1023,397,1765
510,449,95,347,449,738,855
511,4360,564,788,4360,19,855
512,1987,469,458,1987,793,855
513,1656,233,702,1656,793,855
514,4321,2,483,4321,1126,855
515,4798,48,94,4798,1056,855
516,960,30,557,960,1128,855
517,743,143,490,743,738,1354
518,3710,437,432,3710,1555,1354
519,903,17,142,903,1171,1354
520,4889,14,556,4889,1056,1354
521,601,257,347,601,924,1136
522,1592,89,77,1592,924,2529
523,601,257,347,601,925,1137
524,3201,522,394,3201,662,1137
525,4026,216,64,4026,925,4837
526,3757,61,407,3757,925,4837
527,1865,38,289,1865,925,2885
528,2751,364,347,2751,1769,3852
529,4111,2,434,4111,1769,3809
530,2702,63,393,2702,1769,3809
531,3602,142,670,3602,1769,4673
532,1253,1,456,1253,1386,2099
533,1297,312,484,1297,1386,2099
534,2673,532,469,2673,1386,2888
535,4470,221,753,4470,1386,2888
536,1870,458,564,1870,1086,2888
537,1253,1,456,1253,1055,2100
538,3203,312,305,3203,135,2100
539,4524,201,319,4524,135,2100
540,2537,188,422,2537,1055,3656
541,2423,426,496,2423,1055,3533
542,2682,60,715,2682,1055,3533
543,812,17,246,812,1055,1443
544,762,293,498,762,1055,1371
545,2521,521,448,2521,604,1371
546,986,342,319,986,1055,680
547,340,111,283,340,604,680
548,4909,436,561,4909,1055,2736
549,3513,60,759,3513,604,2736
550,1754,46,554,1754,135,2736
551,3530,46,28,3530,135,2736
552,3006,165,144,3006,135,2736
553,4554,17,456,4554,33,5475
554,1384,161,316,1384,33,2274
555,4127,24,225,4127,1870,2274
556,3376,17,499,3376,1833,2274
557,15,12,15,15,33,34
558,3360,156,696,3360,33,34
559,2084,480,563,2084,33,3142
560,1207,165,592,1207,33,2028
561,4554,17,456,4554,46,557
562,1706,12,706,1706,46,557
563,4154,10,664,4154,514,557
564,276,161,234,276,514,557
565,1969,60,436,1969,514,557
566,23,21,23,23,46,47
567,165,10,149,165,46,47
568,779,22,335,779,1070,47
569,2579,136,613,2579,46,2747
570,1760,127,280,1760,469,2747
571,2248,259,21,2248,514,2747
572,1044,356,379,1044,46,1797
573,1504,12,247,1504,1070,1797
574,3950,64,134,3950,1070,1797
575,4554,17,456,4554,1547,644
576,4626,339,316,4626,577,644
577,432,4,96,432,577,644
578,317,24,265,317,577,644
579,4025,27,25,4025,602,644
580,2642,95,138,2642,602,644
581,4842,63,334,4842,798,644
582,4353,24,295,4353,726,644
583,2985,48,375,2985,726,644
584,1465,143,487,1465,1478,644
585,1656,233,702,1656,1547,678
586,3800,193,631,3800,1547,678
587,3009,520,732,3009,577,678
588,338,12,281,338,602,678
589,2497,2,483,2497,798,678
590,2832,27,234,2832,1547,2317
591,2187,12,597,2187,726,2317
592,1420,214,315,1420,726,2317
593,3483,158,472,3483,1547,3251
594,2181,158,574,2181,577,3251
595,3208,223,130,3208,726,3251
596,4208,377,44,4208,1547,2487
597,1554,177,61,1554,577,2487
598,4483,223,162,4483,602,2487
599,3818,306,50,3818,1435,2487
600,2389,48,238,2389,1435,2487
601,4554,17,456,4554,28,4079
602,2980,312,47,2980,28,4079
603,2772,149,532,2772,28,3870
604,15,12,15,15,28,29
605,1659,37,125,1659,28,2621
606,497,94,370,497,28,932
607,639,223,443,639,28,1191
608,4554,17,456,4554,1695,5476
609,2217,495,380,2217,1695,3297
610,2916,189,575,2916,1695,4018
611,4554,17,456,4554,1644,3031
612,1982,66,418,1982,1644,3031
613,2330,41,456,2330,1514,3431
614,4594,66,122,4594,1514,3431
615,3944,46,45,3944,1514,5003
616,1599,24,396,1599,1514,2539
617,2470,95,586,2470,1514,3582
618,1550,64,687,1550,1514,2482
619,4601,51,456,4601,1367,5522
620,1213,4,419,1213,1367,2041
621,4288,568,340,4288,1367,2041
622,4861,4,784,4861,1367,5714
623,3982,61,699,3982,1367,5039
624,2529,113,469,2529,1367,3649
625,3597,55,283,3597,1482,3649
626,666,52,456,666,742,860
627,452,155,223,452,742,860
628,3878,235,55,3878,742,4949
629,890,315,360,890,742,1565
630,3038,106,657,3038,742,4136
631,1185,63,351,1185,742,1992
632,3463,52,456,3463,1579,1421
633,4073,175,756,4073,1579,1421
634,796,301,511,796,555,1421
635,4617,2,236,4617,1579,5534
636,2665,35,197,2665,1579,3781
637,1775,130,364,1775,1579,2767
638,3671,107,441,3671,555,2767
639,3899,274,549,3899,1579,2207
640,1322,134,599,1322,555,2207
641,1680,44,657,1680,555,2207
642,3463,52,456,3463,203,213
643,105,82,101,105,203,213
644,4107,102,495,4107,203,5147
645,2287,15,104,2287,203,3375
646,4537,334,470,4537,203,5464
647,4880,17,248,4880,203,1892
648,1119,371,216,1119,203,1892
649,386,95,311,386,203,762
650,960,30,557,960,203,762
651,3463,52,456,3463,1561,2686
652,1712,314,608,1712,1561,2686
653,3704,67,320,3704,1561,4775
654,2288,289,275,2288,1561,3376
655,4592,279,146,4592,1561,5508
656,3463,52,456,3463,59,4550
657,3403,57,706,3403,59,4495
658,3145,143,246,3145,59,4237
659,27,25,27,27,59,61
660,2651,165,611,2651,59,3766
661,2798,165,456,2798,1787,3895
662,2877,6,431,2877,1787,3975
663,3135,368,524,3135,1787,4228
664,3422,156,330,3422,1787,4518
665,4515,186,456,4515,698,5450
666,3859,402,474,3859,698,4929
667,4407,145,518,4407,698,1381
668,770,24,269,770,698,1381
669,408,106,325,408,698,798
670,4068,394,768,4068,698,5109
671,4300,528,221,4300,698,5109
672,2165,377,198,2165,698,3228
673,4306,163,107,4306,698,5281
674,2128,304,456,2128,1675,1164
675,619,129,249,619,941,1164
676,3341,6,228,3341,1675,467
677,4821,24,570,4821,1249,467
678,4611,299,660,4611,1249,467
679,227,145,196,227,439,467
680,4494,202,241,4494,1675,1553
681,4291,200,421,4291,1675,1553
682,882,60,329,882,1150,1553
683,3294,574,473,3294,1192,1553
684,4060,248,496,4060,784,1553
685,3405,142,520,3405,941,1553
686,1229,95,626,1229,1249,1553
687,3438,341,385,3438,439,1553
688,2274,12,678,2274,1675,3354
689,3033,15,189,3033,1637,3354
690,3487,46,326,3487,1675,4238
691,3146,10,596,3146,1814,4238
692,2359,48,299,2359,1675,2145
693,4745,156,26,4745,1150,2145
694,3134,94,102,3134,1150,2145
695,3465,28,389,3465,1150,2145
696,4718,64,453,4718,1885,2145
697,1281,175,566,1281,1249,2145
698,2128,304,456,2128,1520,3189
699,1564,431,417,1564,1520,2502
700,3387,376,569,3387,1520,2502
701,1801,6,99,1801,1520,2802
702,3106,60,227,3106,1520,4206
703,2710,46,700,2710,1520,3820
704,1842,52,717,1842,1520,2861
705,1934,434,456,1934,1630,550
706,274,77,232,274,35,550
707,3727,279,647,3727,35,550
708,916,66,548,916,474,550
709,2023,203,148,2023,1630,2134
710,3166,285,671,3166,1630,2134
711,3486,127,525,3486,474,2134
712,1276,135,313,1276,1400,2134
713,3690,300,451,3690,1630,2357
714,1461,60,219,1461,1400,2357
715,1537,1,627,1537,1133,2456
716,2800,32,2,2800,1133,3817
717,2709,184,761,2709,1133,3817
718,1856,14,335,1856,1133,2879
719,2500,12,209,2500,376,2879
720,857,303,530,857,1133,1510
721,2916,189,575,2916,1133,3032
722,1982,66,418,1982,376,3032
723,1537,1,627,1537,1506,143
724,70,55,67,70,83,143
725,3934,474,453,3934,1506,3203
726,2140,60,739,2140,1506,3203
727,4672,411,279,4672,1506,5573
728,2251,27,211,2251,1506,3334
729,4383,17,628,4383,670,3334
730,3871,140,249,3871,1506,4940
731,2539,30,662,2539,1506,1159
732,616,113,428,616,670,1159
733,1128,113,379,1128,670,1159
734,1242,3,627,1242,745,560
735,818,12,498,818,745,560
736,848,15,527,848,730,560
737,3406,66,200,3406,1460,560
738,3950,64,134,3950,1304,560
739,1260,394,94,1260,1304,560
740,3156,134,134,3156,591,560
741,327,183,273,327,591,560
742,1930,465,246,1930,291,560
743,2166,174,626,2166,291,560
744,2678,33,761,2678,331,560
745,4440,68,444,4440,753,560
746,599,7,385,599,753,560
747,2896,294,439,2896,1576,560
748,3632,251,771,3632,736,560
749,4272,606,566,4272,736,560
750,959,296,106,959,1156,560
751,1539,430,144,1539,1156,560
752,1670,163,313,1670,943,560
753,2204,482,364,2204,1204,560
754,4922,214,704,4922,315,560
755,1691,48,224,1691,503,560
756,793,178,53,793,503,560
757,1368,158,530,1368,503,560
758,1739,111,710,1739,516,560
759,276,161,234,276,516,560
760,4553,177,378,4553,553,560
761,3000,402,662,3000,1588,560
762,1816,161,622,1816,56,560
763,534,17,14,534,839,560
764,3207,75,667,3207,822,560
765,1866,124,272,1866,822,560
766,2674,17,123,2674,785,560
767,4710,306,280,4710,785,560
768,3852,302,143,3852,1162,560
769,453,75,177,453,745,13
770,1786,12,96,1786,745,13
771,3488,77,276,3488,1843,13
772,1927,66,104,1927,89,13
773,2958,75,211,2958,262,13
774,442,106,342,442,730,13
775,4152,15,752,4152,221,13
776,2042,474,42,2042,221,13
777,4550,411,62,4550,90,13
778,2674,17,123,2674,90,13
779,1074,75,238,1074,90,13
780,2216,494,68,2216,1304,13
781,4064,365,432,4064,591,13
782,3236,15,169,3236,291,13
783,145,105,133,145,291,13
784,569,249,244,569,291,13
785,3500,394,310,3500,1576,13
786,3230,119,750,3230,1156,13
787,998,15,11,998,998,13
788,2053,64,91,2053,943,13
789,3850,17,688,3850,943,13
790,2197,492,184,2197,315,13
791,1025,251,573,1025,984,13
792,4380,52,699,4380,1504,13
793,446,75,345,446,686,13
794,2097,78,323,2097,1669,13
795,4347,33,586,4347,1669,13
796,5,5,5,5,13,13
797,2526,163,617,2526,13,13
798,2773,27,712,2773,553,13
799,2469,98,643,2469,495,13
800,2151,187,139,2151,1678,13
801,4774,37,612,4774,1831,13
802,1741,302,711,1741,785,13
803,794,300,509,794,785,13
804,495,158,369,495,785,13
805,4652,477,173,4652,1321,13
806,2533,78,493,2533,1321,13
807,457,52,351,457,748,13
808,2063,155,708,2063,745,277
809,3488,77,276,3488,718,277
810,910,106,540,910,1176,277
811,133,41,15,133,262,277
812,1585,67,692,1585,262,277
813,4262,411,278,4262,1304,277
814,1474,306,536,1474,591,277
815,3912,41,461,3912,331,277
816,2378,134,150,2378,1363,277
817,677,271,462,677,998,277
818,2097,78,323,2097,1588,277
819,4103,124,724,4103,1831,277
820,2065,38,283,2065,745,92
821,432,4,96,432,718,92
822,1891,165,531,1891,757,92
823,2450,247,721,2450,89,92
824,2225,95,745,2225,1176,92
825,4074,55,106,4074,1454,92
826,1388,61,660,1388,1454,92
827,1631,213,621,1631,221,92
828,3191,29,461,3191,221,92
829,3694,130,776,3694,221,92
830,1240,336,523,1240,90,92
831,3809,303,603,3809,90,92
832,3292,292,553,3292,90,92
833,45,40,42,45,90,92
834,4721,219,304,4721,1460,92
835,2226,409,525,2226,1304,92
836,4008,61,590,4008,1304,92
837,1533,429,684,1533,591,92
838,4625,616,771,4625,515,92
839,2163,352,744,2163,515,92
840,3407,26,555,3407,1485,92
